Bank,Kredit(for),Procent,Term,Amount,Details
Ипак Йули Банк,Потребительский кредит,"
от 26.9 % ","
3 года ","
до 80 000 000 сум ",/credit/na-pokupku-bytovoy-tekhniki-i-mebeli-uz-maishiy-texnika-va-mebel-harid-qilish-uchun
Кишлок курилиш банк,Кредит на образование,"
17 %
","
7 лет ","
Не указано ",/credit/kredit-na-obrazovanie
Ziraat Bank,Овердрафт,"
22 %
","
1 месяц - 1 год ","
Не указано ",/credit/overdraft4
Универсал банк,Потребительский кредит,"
34 %
","
3 года ","
до 54 000 000 сум ",/credit/potrebitelskiy-kredit18992
Давр банк,AUTO BOZOR,"
24 %
","
4 года ","
Не указано ",/credit/moshina-bozor
Hamkorbank,"Микрозайм ""DRIVE""","
48 %
","
2 года ","
до 50 000 000 сум ",/credit/mikrozaym-drive
Узпромстройбанк,Кредит на любые цели с онлайн микрозаймом,"
26.9 %
","
1 год ","
до 30 000 000 сум ",/credit/sovershay-pokupki-v-joyda-uz-joyda-orqali-xarid-qiling
Агробанк,"Кредитование за счет фонда ""Поддержка женщин-предпринимателей""","
17 %
","
3 года ","
до 27 000 000 сум ",/credit/kreditovanie-za-schet-fonda-podderzhka-zhenshchin-predprinimateley
Ravnaq-bank,Потребительский кредит,"
от 26 - до 28 % ","
1 год - 3 года ","
до 20 000 000 сум ",/credit/potrebitelskiy-kredit18989
Алокабанк,Миллион программистов,"
от 21 % ","
2 года ","
до 6 750 000 сум ",/credit/million-programmistov
Инфинбанк,Потребительское кредитование,"
от 37,99 % ","
1.5 года ","
Не указано ",/credit/potrebitelskiy-kredit-uz-iste-mol-krediti2
Ориент Финанс Банк,Кредит на образование «Студент»,"
17 %
","
0 ","
Не указано ",/credit/kredit-na-obrazovanie-student
Asia Alliance Bank,Овердрафт,"
22 %
","
1 год ","
до 54 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://aab.uz/ru/private/crediting/overdraft/
Пойтахт банк,Потребительский кредит,"
27 %
","
2 года ","
до 49 000 000 сум ",/credit/potrebitelskiy-kredit18988
Садерат Банк,Авто 3,"
23 %
","
3 года ","
до 540 000 000 сум ",/credit/avto-3-uz-avto-3
Садерат Банк,Овердрафт,"
от 25 - до 28 % ","
1 год ","
до 5 400 000 сум ",/credit/overdraft2
Garant Bank (Savdogarbank),"Потребительский кредит для бытовой техники, стройматериалов и оргтехники","
от 27 % ","
2 года ","
до 54 000 000 сум ",/credit/potrebitelskiy-kredit-dlya-bytovoy-tekhniki-stroymaterialov-i-orgtekhniki
Кишлок курилиш банк,Кредитный конвейр,"
28 %
","
5 лет ","
Не указано ",/credit/kreditnyy-konveyr
Агробанк,Кредит на развитие производства овощей и фруктов,"
17 %
","
3 года ","
Не указано ",/credit/kredit-na-razvitie-proizvodstva-ovoshchey-i-fruktov
Давр банк,UY-JOY TA'MIRLASH UCHUN-2,"
27 %
","
7 лет ","
до 250 000 000 сум ",/credit/uy-joy-ta-mirlash-uchun-2
Алокабанк,Образовательный кредит лицам за счет средств Министерства Финансов,"
17 %
","
7 лет ","
Не указано ",/credit/obrazovatelnyy-kredit-uz-ta-lim-krediti2
Ипотека банк,Автокредит Фидоий,"
от 23 - до 24 % ","
4 года ","
до 270 000 000 сум ",/credit/avtokredit-fidoiy
Инфинбанк,Кредитные карты InfinBLACK,"
35.99 %
","
2 года ","
до 30 000 000 сум ",/credit/kreditnye-karty-infinblack
Ориент Финанс Банк,Кредит «Выгодный»,"
27.9 %
","
3 года ","
до 50 000 000 сум ",/credit/kredit-vygodnyy
Садерат Банк,Авто 4,"
25 %
","
4 года ","
до 540 000 000 сум ",/credit/avto-4-uz-avto-4
Ипак Йули Банк,На обучение,"
26.9 %
","
1 год - 3 года ","
до 30 000 000 сум ",/credit/na-obrazovanie-stavka-izmenena-v-yanvare-2021-goda-uz-ta-lim-uchun-foiz-stavkasi-yanvar-oyi-2021-yil
Давр банк,UY-JOY TA'MIRLASH UCHUN-1,"
27 %
","
7 лет ","
до 150 000 000 сум ",/credit/uy-joy-ta-mirlash-uchun-1
Asia Alliance Bank,Потребительский кредит «ЮКСАЛИШ»,"
26 %
","
3 года ","
до 81 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://aab.uz/ru/private/crediting/potrebitelskiy-kredit-yuksalish/
Давр банк,QULAY AUTO,"
27.99 %
","
5 лет ","
Не указано ",/credit/qulay-auto
MKBank,"Автокредит для автомобилей Kia, Lada, Chery и Renault","
от 5 - до 22 % ","
1 год - 5 лет ","
до 540 000 000 сум ",/credit/avtokredit-dlya-avtomobiley-kia-lada-chery-i-renault
Garant Bank (Savdogarbank),Мебель и предметы интерьера,"
27 %
","
1 год - 2 года ","
до 81 000 000 сум ",/credit/mebel-i-predmety-interera
Давр банк,Кредит 50,"
42 %
","
3 года ","
до 50 000 000 сум ",/credit/kredit-50
Турон банк,Автокредит 25%,"
25 %
","
5 лет ","
Не указано ",/credit/avtokredit-25
Ипотека банк,OVERDRAFT,"
26 %
","
1 год ","
до 27 000 000 сум ",/credit/overdraft12
Ипотека банк,"Автокредит для моделей KIA, RENAULT, LADA","
от 5 - до 21 % ","
1 год - 4 года ","
до 1 000 сум ",/credit/avtokredit-dlya-modeley-kia-renault-lada
Турон банк,Кредит для путешествия,"
29 %
","
1 год ","
от 5 000 000 - до 21 000 000 сум ",/credit/kredit-dlya-puteshestviya
Узпромстройбанк,Кредит на автомобиль KIA,"
от 3 - до 24 % ","
5 лет ","
Не указано ",/credit/kredit-na-avtomobil-kia
Ипотека банк,Микрозайм (для участников зарплатного проекта),"
24 %
","
1 год ","
до 50 000 000 сум ",/credit/mikrozaym-dlya-uchastnikov-zarplatnogo-proekta
Ravnaq-bank,Кредиты на кредитную карту Uzcard,"
от 28 - до 30 % ","
1 год - 3 года ","
Не указано ",/credit/kredity-na-kreditnuyu-kartu-uzcard
Трастбанк,Автокредит для автомобилей Kia,"
от 15 - до 22 % ","
2 года - 4 года ","
до 300 000 000 сум ",/credit/avtokredit-dlya-avtomobiley-kia1
Узпромстройбанк,"""Зеленый"" кредит","
15 %
","
5 лет ","
до 150 000 000 сум ",/credit/zelenyy-kredit
Hamkorbank,Кредит на образование,"
14 %
","
7 лет ","
Не указано ",/credit/kredit-na-obrazovanie-1
TBC Bank,TBC Автокредит,"
от 25 - до 30 % ","
6 месяцев - 6 лет ","
до 200 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://tbcbank.uz/ru/product/tbc-avtokredit
Ипак Йули Банк,Автокредиты для самозанятых,"
25.9 %
","
4 года ","
до 300 000 000 сум ",/credit/avtokredity-dlya-samozanyatykh
Узпромстройбанк,Потребительский кредит,"
от 25 - до 27 % ","
1 год - 3 года ","
до 150 000 000 сум ",/credit/potrebitelskiy-kredit19037
Агробанк,Кредитная карта,"
27.99 %
","
4 года ","
до 50 000 000 сум ",/credit/kreditnaya-karta-uz-mikroqarz
КДБ Банк Узбекистан,Кредиты для сотрудников корпоративных клиентов,"
от 34 % ","
1 год ","
Не указано ",/credit/kredity-dlya-sotrudnikov-korporativnykh-klientov
Anorbank,Автокредит,"
от 24 % ","
5 лет ","
до 300 000 000 сум ",/credit/avtokredit12
Капиталбанк,Капитал Авто 7,"
24 %
","
7 лет ","
до 450 000 000 сум ",/credit/kapital-avto-7
MKBank,"Автокредит Комфорт (KIA, Renault, LADA,Chery)","
от 9 - до 24 % ","
1 год - 5 лет ","
до 540 000 000 сум ",/credit/avtokredit-komfort-kia-renault-lada-chery
НБУ,Льготный образовательный кредит,"
14 %
","
13.5 лет ","
Не указано ",/credit/lgotnyy-obrazovatelnyy-kredit
Узпромстройбанк,"Автокредит на автомобили CHERY, LADA, RENAULT","
от 3 - до 24 % ","
1 год - 5 лет ","
Не указано ",/credit/vtokredit-na-avtomobili-chery-lada-renault
Алокабанк,Образовательный кредит,"
32 %
","
1 год - 2 года ","
до 50 000 000 сум ",/credit/obrazovatelnyy-kredit-aloqabank
Агробанк,Онлайн-платеж,"
27.99 %
","
2 года ","
до 50 000 000 сум ",/credit/onlayn-platezh
Агробанк,Аванс плюс,"
25 %
","
1 год ","
до 20 000 000 сум ",/credit/avans-plyus
MKBank,Онлайн микрозайм-2,"
27 %
","
1 год ","
до 1 000 000 сум ",/credit/onlayn-mikrozaym-2
Ипотека банк,Зелёный кредит,"
14 %
","
5 лет ","
до 90 000 000 сум ",/credit/zelyenyy-kredit
MKBank,Кредит на покупку легковых автомобилей со вторичного рынка,"
25 %
","
5 лет ","
до 810 000 000 сум ",/credit/kredit-na-pokupku-legkovykh-avtomobiley-so-vtorichnogo-rynka
Ипак Йули Банк,"Автокредит для автомобилей Kia, Lada и Renault","
23.9 %
","
4 года ","
до 500 000 000 сум ",/credit/avtokredit-dlya-avtomobiley-kia-lada-i-renault
Давр банк,SUPER AUTO KREDIT,"
27.99 %
","
5 лет ","
Не указано ",/credit/super-auto-kredit
Узпромстройбанк,Образовательный кредит для девушек-студенток,"
14 %
","
7 лет ","
до 40 500 000 сум ",/credit/obrazovatelnyy-kredit-dlya-devushek-studentok
MKBank,Кредит на образование (ПП-5203),"
14 %
","
15 лет ","
Не указано ",/credit/kredit-na-obrazovanie-pp-5203
Инфинбанк,Образовательный кредит,"
25.99 %
","
3 года ","
Не указано ",/credit/obrazovatelnyy-kredit12
MKBank,Кредит по программе «Миллион программистов»,"
22.5 %
","
2 года ","
до 6 750 000 сум ",/credit/kredit-po-programme-million-programmistov
Давр банк,KREDIT KARTA 100,"
32 %
","
5 лет ","
до 100 000 000 сум ",/credit/kredit-karta-100
Народный банк,Yashil makon,"
15 %
","
5 лет ","
до 60 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://www.xb.uz/ru/page/yashil-makon-istemol-krediti
Трастбанк,Кредит на покупку автомобилей,"
от 22 - до 25 % ","
4 года ","
Не указано ",/credit/kredit-na-pokupku-avtomobiley
Садерат Банк,Авто 7,"
23 %
","
3 года - 4 года ","
до 600 000 000 сум ",/credit/avto-7
Garant Bank (Savdogarbank),Avto-Plyus,"
от 24 - до 26 % ","
3 года - 4 года ","
Не указано ",/credit/avto-plyus
Tenge Bank,"Покупка нового автомобиля (Chevrolet, Skoda, Kia, Renault, Lada, Chery)","
от 23,5 - до 25,9 % ","
4 года ","
до 400 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://tengebank.uz/ru/credit/avtokredit
Tenge Bank,Микрозайм Life,"
от 31.9 - до 38.9 % ","
1 год 1 месяц - 2 года ","
от 5 000 000 - до 30 000 000 сум ",https://tengebank.uz/ru/credit/mikrozajm-life
Садерат Банк,Авто 2,"
27 %
","
4 года ","
 до 600 000 000 сум ",/credit/avto-2
Садерат Банк,Авто 1,"
28 %
","
4 года ","
до 600 000 000 сум ",/credit/avto-1
MKBank,Целевой микрозайм для трудовых мигрантов,"
25.5 %
","
1 год ","
до 2 000 000 сум ",/credit/tselevoy-mikrozaym-dlya-trudovykh-migrantov
Садерат Банк,Авто 5,"
27 %
","
4 года ","
до 540 000 000 сум ",/credit/avto-5-uz-avto-5
Садерат Банк,Авто 6,"
28 %
","
4 года ","
до 540 000 000 сум ",/credit/avto-6
MKBank,Кредит на образование для женщин,"
0 %
","
15 лет ","
Не указано ",/credit/kredit-na-obrazovanie-dlya-zhenshchin
MKBank,Автокредит на покупку легковых автомобилей,"
от 21.9 - до 25.9 % ","
5 лет ","
до 540 000 000 сум ",/credit/avtokredit-na-pokupku-legkovykh-avtomobiley
Народный банк,Тезкор,"
24 %
","
4 года ","
до 300 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://www.xb.uz/ru/page/tezkor-avtokredit
Asia Alliance Bank,Автокредит «CHERY»,"
от 0.01 - до 21.5 % ","
4 года ","
Не указано ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://aab.uz/ru/private/crediting/avtokredit-chery/
Asia Alliance Bank,Автокредит «ROODELL SPECIAL 1»,"
от 0.01 - до 21.5 % ","
1 год - 4 года ","
Не указано ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://aab.uz/ru/private/crediting/avtokredit-roodell-special-1-/
Народный банк,Hunarmand,"
21 %
","
3 года ","
до 30 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://www.xb.uz/ru/page/hunarmand-istemol-krediti
Asia Alliance Bank,Кредитная карта,"
27.99 %
","
3 года ","
Не указано ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://aab.uz/ru/private/crediting/kreditnaya-karta/
Asia Alliance Bank,Автокредит «ROODELL SPECIAL 2»,"
от 0.01 - до 19.5 % ","
1 год - 4 года ","
Не указано ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://aab.uz/ru/private/crediting/avtokredit-roodell-special-2/
Tenge Bank,Онлайн микрозайм,"
35.9 %
","
2 года ","
от 1 000 000 - до 50 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://tengebank.uz/ru/credit/mikrozajm-onlajn
Asia Alliance Bank,Автокредит «ИМКОНИЯТ»,"
от 24 - до 27.99 % ","
1 год - 4 года ","
Не указано ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://aab.uz/ru/private/crediting/avtokredit-imkoniyat-/
Асакабанк,Автокредит Киа,"
0 %
","
5 лет ","
Не указано ",/credit/avtokredit-kia-uz-avtokredit-kia
Асакабанк,Автокредит Chery,"
0 %
","
5 лет ","
Не указано ",/credit/avtokredit-chery-uz-avtokredit-chery
